method,path,called_by_frontend,evidence
GET,/collections/smart/stats,no,server/api/routers/smart_collections.py:126
DELETE,/collections/smart/{collection_id},no,server/api/routers/smart_collections.py:86
GET,/collections/smart/{collection_id},no,server/api/routers/smart_collections.py:47
PUT,/collections/smart/{collection_id},no,server/api/routers/smart_collections.py:62
GET,/collections/smart/{collection_id}/photos,no,server/api/routers/smart_collections.py:101
GET,/dialogs/active,no,server/api/routers/dialogs.py:43
POST,/dialogs/confirmation,no,server/api/routers/dialogs.py:105
POST,/dialogs/create,no,server/api/routers/dialogs.py:23
POST,/dialogs/error,no,server/api/routers/dialogs.py:126
GET,/dialogs/history,no,server/api/routers/dialogs.py:213
POST,/dialogs/input,no,server/api/routers/dialogs.py:196
POST,/dialogs/progress,no,server/api/routers/dialogs.py:148
POST,/dialogs/progress/{dialog_id},no,server/api/routers/dialogs.py:170
POST,/dialogs/progress/{dialog_id}/complete,no,server/api/routers/dialogs.py:186
GET,/dialogs/stats,no,server/api/routers/dialogs.py:223
GET,/dialogs/{dialog_id},no,server/api/routers/dialogs.py:53
POST,/dialogs/{dialog_id}/action,no,server/api/routers/dialogs.py:66
POST,/dialogs/{dialog_id}/close,no,server/api/routers/dialogs.py:81
POST,/dialogs/{dialog_id}/dismiss,no,server/api/routers/dialogs.py:95
GET,/example,no,server/api/deps.py:16
POST,/export,no,server/api/routers/export.py:15
GET,/export/presets,no,server/api/routers/export.py:144
POST,/export/presets,no,server/api/routers/export.py:136
POST,/faces/cluster,no,server/api/routers/faces_legacy.py:11
GET,/faces/clusters,no,server/api/routers/faces_legacy.py:34
DELETE,/faces/clusters/{cluster_id},no,server/api/routers/faces_legacy.py:112
GET,/faces/clusters/{cluster_id},no,server/api/routers/faces_legacy.py:54
PUT,/faces/clusters/{cluster_id}/label,no,server/api/routers/faces_legacy.py:92
GET,/faces/image/{image_path:path},no,server/api/routers/faces_legacy.py:73
GET,/faces/stats,no,server/api/routers/faces_legacy.py:131
DELETE,/favorites,no,server/api/routers/favorites.py:58
GET,/favorites,no,server/api/routers/favorites.py:30
GET,/favorites/check,no,server/api/routers/favorites.py:43
POST,/favorites/toggle,no,server/api/routers/favorites.py:9
GET,/file,no,server/api/routers/file.py:17
GET,/image/thumbnail,no,server/api/routers/images.py:23
POST,/image/token,no,server/api/routers/images.py:230
POST,/index,no,server/api/routers/indexing.py:97
GET,/intent/all,no,server/api/routers/intent.py:110
GET,/intent/badges,no,server/api/routers/intent.py:91
GET,/intent/detect,no,server/api/routers/intent.py:37
GET,/intent/suggestions,no,server/api/routers/intent.py:71
GET,/jobs/{job_id},no,server/api/routers/indexing.py:88
POST,/library/remove,no,server/api/routers/trash.py:258
POST,/locations-legacy,no,server/api/routers/locations.py:18
GET,/locations-legacy/photo/{photo_path:path},no,server/api/routers/locations.py:43
PUT,/locations-legacy/photo/{photo_path:path},no,server/api/routers/locations.py:61
GET,/locations-legacy/stats,no,server/api/routers/locations.py:120
POST,/locations/clusterize,no,server/api/routers/locations.py:235
GET,/locations/clusters,no,server/api/routers/locations.py:109
GET,/locations/clusters/{cluster_id}/photos,no,server/api/routers/locations.py:204
POST,/locations/correct-bulk,no,server/api/routers/locations.py:269
POST,/locations/correct/{photo_path:path},no,server/api/routers/locations.py:131
GET,/locations/nearby,no,server/api/routers/locations.py:94
GET,/locations/photo/{photo_path:path},no,server/api/routers/locations.py:153
GET,/locations/photo/{photo_path:path}/cluster,no,server/api/routers/locations.py:220
GET,/locations/places/{place_name},no,server/api/routers/locations.py:83
GET,/locations/stats,no,server/api/routers/locations.py:257
GET,/oauth/google/callback,no,server/api/routers/sources.py:917
DELETE,/ocr/all,no,server/api/routers/ocr.py:105
POST,/ocr/extract,no,server/api/routers/ocr.py:11
DELETE,/ocr/image/{image_path:path},no,server/api/routers/ocr.py:86
GET,/ocr/image/{image_path:path},no,server/api/routers/ocr.py:67
GET,/ocr/search,no,server/api/routers/ocr.py:30
GET,/ocr/stats,no,server/api/routers/ocr.py:51
GET,/photos/by-tags,no,server/api/routers/tag_filters.py:384
GET,/photos/by-tags/legacy2,no,server/api/routers/tag_filters.py:159
POST,/photos/flip,no,server/api/routers/transforms.py:65
POST,/photos/rotate,no,server/api/routers/transforms.py:11
GET,/photos/{path:path}/albums,no,server/api/routers/albums.py:180
GET,/photos/{path:path}/tags,no,server/api/routers/tags.py:82
GET,/pricing,no,server/api/routers/pricing.py:13
GET,/pricing/recommend,no,server/api/routers/pricing.py:32
GET,/pricing/{tier_name},no,server/api/routers/pricing.py:21
GET,/privacy/access/{user_id},no,server/api/routers/privacy.py:86
GET,/privacy/check-access/{photo_path:path}/{user_id},no,server/api/routers/privacy.py:97
GET,/privacy/control/{photo_path:path},no,server/api/routers/privacy.py:36
POST,/privacy/control/{photo_path:path},no,server/api/routers/privacy.py:11
PUT,/privacy/control/{photo_path:path},no,server/api/routers/privacy.py:51
GET,/privacy/encrypted/{owner_id},no,server/api/routers/privacy.py:108
DELETE,/privacy/revoke-access/{photo_path:path}/{user_id},no,server/api/routers/privacy.py:130
GET,/privacy/stats/{owner_id},no,server/api/routers/privacy.py:119
GET,/privacy/visible/{visibility}/{owner_id},no,server/api/routers/privacy.py:75
POST,/scan,no,server/api/routers/indexing.py:20
GET,/search,no,server/api/routers/search.py:22
POST,/search/intent,no,server/api/routers/advanced_intent_search.py:15
POST,/search/refine,no,server/api/routers/advanced_intent_search.py:115
GET,/search/semantic,no,server/api/routers/semantic_search.py:111
GET,/searches,no,server/api/routers/saved_searches.py:34
GET,/searches/analytics,no,server/api/routers/saved_searches.py:137
GET,/searches/analytics/detailed,no,server/api/routers/saved_searches.py:146
GET,/searches/analytics/export,no,server/api/routers/saved_searches.py:164
GET,/searches/analytics/trends,no,server/api/routers/saved_searches.py:155
GET,/searches/history,no,server/api/routers/saved_searches.py:186
POST,/searches/history/clear,no,server/api/routers/saved_searches.py:226
GET,/searches/performance,no,server/api/routers/saved_searches.py:217
GET,/searches/recurring,no,server/api/routers/saved_searches.py:207
POST,/searches/save,no,server/api/routers/saved_searches.py:16
DELETE,/searches/{search_id},no,server/api/routers/saved_searches.py:125
GET,/searches/{search_id},no,server/api/routers/saved_searches.py:57
PUT,/searches/{search_id},no,server/api/routers/saved_searches.py:104
POST,/searches/{search_id}/execute,no,server/api/routers/saved_searches.py:69
GET,/server/config,no,server/api/routers/core.py:14
POST,/share,no,server/api/routers/share.py:18
GET,/shared/{share_id},no,server/api/routers/share.py:76
GET,/shared/{share_id}/download,no,server/api/routers/share.py:122
GET,/sources,no,server/api/routers/sources.py:45
POST,/sources/google-drive,no,server/api/routers/sources.py:890
POST,/sources/local-folder,no,server/api/routers/sources.py:487
POST,/sources/s3,no,server/api/routers/sources.py:544
DELETE,/sources/{source_id},no,server/api/routers/sources.py:67
POST,/sources/{source_id}/rescan,no,server/api/routers/sources.py:78
POST,/sources/{source_id}/sync,no,server/api/routers/sources.py:1020
GET,/stats,no,server/api/routers/stats.py:9
POST,/stories,no,server/api/routers/stories.py:20
GET,/stories/owner/{owner_id},no,server/api/routers/stories.py:57
GET,/stories/user/{user_id}/stats,no,server/api/routers/stories.py:262
GET,/stories/{story_id},no,server/api/routers/stories.py:42
PUT,/stories/{story_id},no,server/api/routers/stories.py:73
POST,/stories/{story_id}/photos,no,server/api/routers/stories.py:123
POST,/stories/{story_id}/publish,no,server/api/routers/stories.py:273
GET,/stories/{story_id}/stats,no,server/api/routers/stories.py:218
GET,/stories/{story_id}/timeline,no,server/api/routers/stories.py:145
GET,/tag-filters,no,server/api/routers/tag_filters.py:281
POST,/tag-filters,no,server/api/routers/tag_filters.py:246
POST,/tag-filters/apply,no,server/api/routers/tag_filters.py:360
GET,/tag-filters/legacy2,no,server/api/routers/tag_filters.py:56
POST,/tag-filters/legacy2,no,server/api/routers/tag_filters.py:21
POST,/tag-filters/legacy2/apply,no,server/api/routers/tag_filters.py:135
DELETE,/tag-filters/legacy2/{filter_id},no,server/api/routers/tag_filters.py:120
GET,/tag-filters/legacy2/{filter_id},no,server/api/routers/tag_filters.py:41
PUT,/tag-filters/legacy2/{filter_id},no,server/api/routers/tag_filters.py:76
DELETE,/tag-filters/{filter_id},no,server/api/routers/tag_filters.py:345
GET,/tag-filters/{filter_id},no,server/api/routers/tag_filters.py:266
PUT,/tag-filters/{filter_id},no,server/api/routers/tag_filters.py:301
GET,/tags,no,server/api/routers/tags.py:15
POST,/tags,no,server/api/routers/tags.py:22
GET,/tags/common,no,server/api/routers/tag_filters.py:201
GET,/tags/common/legacy2,no,server/api/routers/tag_filters.py:426
GET,/tags/search,no,server/api/routers/tag_filters.py:222
GET,/tags/search/legacy2,no,server/api/routers/tag_filters.py:451
GET,/tags/stats,no,server/api/routers/tag_filters.py:234
GET,/tags/stats/legacy2,no,server/api/routers/tag_filters.py:463
DELETE,/tags/{tag_name},no,server/api/routers/tags.py:34
GET,/tags/{tag_name},no,server/api/routers/tags.py:43
DELETE,/tags/{tag_name}/photos,no,server/api/routers/tags.py:75
POST,/tags/{tag_name}/photos,no,server/api/routers/tags.py:68
GET,/tauri/checklist,no,server/api/routers/tauri.py:127
GET,/tauri/commands,no,server/api/routers/tauri.py:9
GET,/tauri/commands/{command_name},no,server/api/routers/tauri.py:25
GET,/tauri/config,no,server/api/routers/tauri.py:79
GET,/tauri/frontend-hooks,no,server/api/routers/tauri.py:63
GET,/tauri/performance,no,server/api/routers/tauri.py:111
GET,/tauri/rust-skeleton,no,server/api/routers/tauri.py:47
GET,/tauri/security,no,server/api/routers/tauri.py:95
GET,/tauri/setup-guide,no,server/api/routers/tauri.py:143
GET,/timeline,no,server/api/routers/stats.py:23
DELETE,/timeline/entries/{entry_id},no,server/api/routers/stories.py:202
PUT,/timeline/entries/{entry_id},no,server/api/routers/stories.py:160
GET,/trash,no,server/api/routers/trash.py:148
POST,/trash/empty,no,server/api/routers/trash.py:213
POST,/trash/move,no,server/api/routers/trash.py:72
POST,/trash/restore,no,server/api/routers/trash.py:168
GET,/usage/check/{user_id},no,server/api/routers/pricing.py:63
GET,/usage/company-analytics,no,server/api/routers/pricing.py:153
GET,/usage/growth/{user_id},no,server/api/routers/pricing.py:119
GET,/usage/history/{user_id},no,server/api/routers/pricing.py:96
GET,/usage/tier-averages,no,server/api/routers/pricing.py:138
POST,/usage/upgrade/{user_id},no,server/api/routers/pricing.py:79
GET,/usage/{user_id},no,server/api/routers/pricing.py:43
POST,/versions,no,server/api/routers/versions.py:114
POST,/versions-legacy,no,server/api/routers/versions.py:16
GET,/versions-legacy/original/{original_path:path},no,server/api/routers/versions.py:40
GET,/versions-legacy/stack/{version_path:path},no,server/api/routers/versions.py:52
GET,/versions-legacy/stats,no,server/api/routers/versions.py:103
DELETE,/versions-legacy/{version_id},no,server/api/routers/versions.py:86
PUT,/versions-legacy/{version_path:path},no,server/api/routers/versions.py:64
POST,/versions/merge-stacks,no,server/api/routers/versions.py:244
GET,/versions/photo/{photo_path:path},no,server/api/routers/versions.py:138
GET,/versions/stack/{original_path:path},no,server/api/routers/versions.py:159
GET,/versions/stacks,no,server/api/routers/versions.py:218
GET,/versions/stats,no,server/api/routers/versions.py:233
DELETE,/versions/{version_id},no,server/api/routers/versions.py:203
PUT,/versions/{version_path:path},no,server/api/routers/versions.py:183
GET,/video,no,server/api/routers/video.py:16
DELETE,/video/analysis/{video_path:path},no,server/api/routers/video_analysis.py:336
GET,/video/analysis/{video_path:path},no,server/api/routers/video_analysis.py:64
POST,/video/analyze,no,server/api/routers/video_analysis.py:16
POST,/video/batch-analyze,no,server/api/routers/video_analysis.py:391
GET,/video/keyframes/{video_path:path},no,server/api/routers/video_analysis.py:132
GET,/video/ocr/{video_path:path},no,server/api/routers/video_analysis.py:198
GET,/video/scenes/{video_path:path},no,server/api/routers/video_analysis.py:169
POST,/video/search,no,server/api/routers/video_analysis.py:93
GET,/video/stats,no,server/api/routers/video_analysis.py:237
GET,/video/thumbnail/{video_path:path},no,server/api/routers/video_analysis.py:259
